Day,Lesson,Try It
1,1,1
2,1,2
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,8
9,2,1
10,2,3
11,2,5
12,2,7
13,2,8
14,2,9
15,2,10
16,2,12
17,2,13
18,2,13
19,2,13
20,3,1
21,3,2
22,3,3
23,3,5
24,3,7
25,3,8
26,3,8
27,3,8
28,4,1
29,4,2
30,4,4
31,4,5
32,4,5
33,5,1
34,5,2
35,5,3
36,5,5
37,5,7
38,5,8
39,5,9
40,5,9
41,5,9
42,6,1
43,6,2
44,6,3
45,6,5
46,6,6
47,6,7
48,6,8
49,6,9
50,6,10
51,6,10
52,6,10
53,7,1
54,7,2
55,7,3
56,7,4
57,7,5
58,7,7
59,7,7
60,8,1
61,8,2
62,8,3
63,8,4
64,8,6
65,8,7
66,8,8
67,8,8
68,8,8
69,9,1
70,9,3
71,9,4
72,9,5
73,9,7
74,9,8
75,9,9
76,9,9
77,9,9
78,10,2
79,10,3
80,10,3
81,10,3
82,10,3
